route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
N128,,,0,,E40D/Enviro400,diesel,double,0
N13,,,0,,B5LH/EvoSeti,hybrid,double,0
N133,E40H/Enviro400H City,,0,,E40H/Enviro400H City,hybrid,double,0
N134,,,0,,MetroDecker EV 10.5m,electric,double,0
N136,B5LH/Eclipse Gemini,ADL Enviro400H MMC,3,ALEXANDER DENNIS,B5LH/Eclipse Gemini,hybrid,double,3
N137,New Bus for London,,0,,New Bus for London,hybrid,double,0
N139,,,0,,B5LH/Eclipse Gemini,hybrid,double,0
N14,,,0,,E40H/Enviro400H MMC,hybrid,double,0
N140,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,5,,B5LH/Gemini 3,hybrid,double,5
N148,,,0,,New Bus for London,hybrid,double,0
N149,,,0,,New Bus for London,hybrid,double,0
N15,New Bus for London,ADL Enviro400H MMC,1,VOLVO,New Bus for London,hybrid,double,2
N155,B5LH/Gemini 3,ADL Enviro400H MMC,1,VOLVO,B5LH/Gemini 3,hybrid,double,6
N158,,,0,,DB300/Gemini 2,diesel,double,0
N159,,,0,,New Bus for London,hybrid,double,0
N171,E40H/Enviro400H MMC,ADL Enviro400H MMC,3,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,3
N176,,,0,,New Bus for London,hybrid,double,0
N18,B5LH/Gemini 3,BYD BD11,5,,B5LH/Gemini 3,hybrid,double,5
N188,,,0,,BYD B11E02 10.9m,electric,double,0
N189,,,0,,New Bus for London,hybrid,double,0
N19,New Bus for London,,0,,New Bus for London,hybrid,double,0
N199,E40D/Enviro400,Wright StreetDeck Electroliner,3,WRIGHTBUS,E40D/Enviro400,diesel,double,3
N2,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,3,VOLVO,B5LH/Gemini 3,hybrid,double,3
N20,New Bus for London,,0,,New Bus for London,hybrid,double,0
N205,E40H/Enviro400H,ADL Enviro400 MMC | ADL Enviro400H,2,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,2
N207,E40H/Enviro400H MMC,ADL Enviro400H MMC | ADL Enviro400 MMC,6,,E40H/Enviro400H MMC,hybrid,double,6
N21,E40H/Enviro400H MMC,ADL Enviro400H MMC,2,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,2
N213,,,0,,DD/Enviro400EV City,electric,double,0
N214,,,0,,D8UR/Enviro200MMC EV,electric,double,0
N22,B5LH/EvoSeti,ADL Enviro400H MMC,2,VOLVO,B5LH/EvoSeti,hybrid,double,4
N220,,,0,,B5LH/Gemini 3,hybrid,double,0
N222,,,0,,B5LH/Gemini 3,hybrid,double,0
N23,,,0,,MetroDecker EV 10.5m,electric,double,0
N238,,,0,,E40D/Enviro400,diesel,double,0
N24,,,0,,New Bus for London,hybrid,double,0
N242,Streetdeck Electroliner 10.5m,Volvo BZL DD | Wright StreetDeck Electroliner,4,VOLVO,Streetdeck Electroliner 10.5m,electric,double,4
N243,,,0,,Streetdeck Electroliner 10.5m,electric,double,0
N25,E40H/Enviro400H MMC,ADL Enviro400 MMC,10,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,10
N250,Trident/Enviro400,ADL Enviro400,1,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,1
N253,New Bus for London,,0,,New Bus for London,hybrid,double,0
N26,E40H/Enviro400H City,Volvo BZL DD | ADL Enviro400H City,5,ALEXANDER DENNIS,E40H/Enviro400H City,hybrid,double,5
N263,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,3,,B5LH/Gemini 3,hybrid,double,3
N264,,,0,,DD/Enviro400EV City,electric,double,0
N266,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,3,,Streetdeck Electroliner 10.5m,electric,double,3
N27,New Bus for London,,0,,New Bus for London,hybrid,double,0
